radius,theta,phi
1,-113.0,-17.454545454545453
1,-113.0,16.909090909090907
1,-91.39393939393939,-66.54545454545455
1,-90.0,-55.63636363636364
1,-90.0,-38.18181818181818
1,-90.0,-20.727272727272727
1,-90.0,-3.2727272727272716
1,-90.0,14.181818181818182
1,-90.0,31.636363636363637
1,-90.0,49.09090909090909
1,-90.0,66.54545454545455
1,-79.57575757575758,-19.212121212121204
1,-74.0,-51.22727272727273
1,-74.0,7.45454545454546
1,-74.0,56.13636363636363
1,-71.34848484848484,20.272727272727273
1,-69.0,-0.5
1,-68.53030303030303,11.136363636363637
1,-64.48484848484848,-22.40909090909091
1,-60.0,-9.272727272727273
1,-55.833333333333336,5.924242424242422
1,-49.0,-54.40909090909091
1,-49.0,-10.545454545454547
1,-49.0,40.22727272727273
1,-47.96969696969697,50.484848484848484
1,-41.81818181818182,-10.454545454545455
1,-31.0,-27.87878787878788
1,-29.666666666666668,38.333333333333336
1,-16.863636363636363,-12.272727272727272
1,22.106060606060606,-80.45454545454545
1,23.0,6.818181818181818
1,23.363636363636363,83.81818181818181
1,30.87878787878788,-43.93939393939394
1,31.0,41.81818181818183
1,43.93939393939394,-79.69696969696969
1,45.0,-9.545454545454547
1,45.0,77.72727272727273
1,48.333333333333336,-41.666666666666686
1,49.0,-36.68181818181819
1,49.0,15.81818181818182
1,49.0,57.95454545454545
1,56.833333333333336,-16.74242424242425
1,60.0,18.545454545454547
1,64.56060606060606,-40.86363636363636
1,67.0,21.818181818181813
1,67.5909090909091,36.81818181818181
1,68.56060606060606,-11.772727272727272
1,69.0,1.2727272727272734
1,71.5,-23.5
1,74.0,-55.31818181818181
1,74.0,-4.969696969696969
1,74.0,52.04545454545455
1,80.06060606060606,8.151515151515149
1,90.0,-83.72727272727272
1,90.0,-66.54545454545455
1,90.0,-49.09090909090909
1,90.0,-31.636363636363637
1,90.0,-14.181818181818182
1,90.0,3.272727272727273
1,90.0,20.727272727272727
1,90.0,38.18181818181818
1,90.0,55.63636363636363
1,91.39393939393939,66.54545454545455
1,113.0,-16.90909090909091
1,113.0,17.454545454545453
