radius,theta,phi
1,-90,-72
1,45,90
1,-60,-51
1,-90,-36
1,-113,-18
1,-69,-22
1,-31,-46
1,-45,0
1,-90,0
1,-113,18
1,-69,21
1,-31,46
1,45,-90
1,-60,51
1,-90,36
1,-90,72
1,90,-90
1,90,-72
1,60,-51
1,90,-36
1,113,-18
1,69,-21
1,31,-46
1,45,0
1,90,0
1,113,18
1,69,21
1,31,46
1,60,51
1,90,36
1,90,72
1,-90,-54
1,-74,-68
1,67,90
1,-49,-68
1,-74,-41
1,-90,-18
1,-49,-29
1,-23,0
1,-68,0
1,-90,18
1,-49,29
1,-49,68
1,-74,41
1,-90,54
1,-74,68
1,67,-90
1,74,-68
1,90,-54
1,74,-41
1,49,-68
1,22,-90
1,49,-29
1,90,-18
1,68,0
1,23,0
1,49,29
1,90,18
1,74,41
1,90,54
1,74,68
1,49,68
1,23,90
